Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
170000068992,9/25/2017  10:53:17 PM,Accident - Minor,Blue Form Issue,"Tureaud, Benjamin",108 N IH 35
170000068994,9/25/2017  11:03:30 PM,Disturbance - Phys/Fight,Arrest,"Tennant, Casey",1629 Post Rd
170000069011,9/26/2017  2:06:11 AM,Accident - Major/Injury,Arrest,"Tureaud, Benjamin",121 Craddock Ave
170000069026,9/26/2017  6:06:03 AM,Theft,Refer To COPR,"Arredondo, Danny",304 Bridlewood Dr
170000069032,9/26/2017  7:37:36 AM,Burglary - Vehicle,Report,"Sparenberg, Andrew",801 River Rd
170000069057,9/26/2017  9:54:30 AM,Accident - Minor,Report,"Sembera, Jeremy",705 Aquarena Springs Dr
170000069067,9/26/2017  10:50:51 AM,Susp Package/Explosives,Fire Call,"Green, Jeff",1050 McKinley Place Dr
170000069068,9/26/2017  10:53:07 AM,Assist Fire Department,Report,"Ladd, Clint",1050 McKinley Place Dr
170000069071,9/26/2017  11:01:26 AM,Burglary - Vehicle,Refer To COPR,"Sembera, Jeremy",1640 Aquarena Springs Dr
170000069076,9/26/2017  11:28:02 AM,Property - Lost/Found/Imp,Report,"Bradshaw, Ed",612 Barbara Dr
170000069081,9/26/2017  12:10:50 PM,Accident - Unknown,Blue Form Issue,"Daenzer, Matthew",202 NB
170000069083,9/26/2017  12:22:37 PM,Criminal Mischief,Report,"Harrison, Todd",407 S Stagecoach Trl
170000069085,9/26/2017  12:35:40 PM,Accident - Minor,Blue Form Issue,"Arredondo, Danny",E Access Rd/River Ridge Pkwy
170000069087,9/26/2017  12:44:12 PM,Accident - Minor,Blue Form Issue,"Sparenberg, Andrew",100blk N IH 35
170000069088,9/26/2017  1:05:46 PM,Criminal Mischief,Refer To COPR,"Cope, John",650 E Hopkins St
170000069089,9/26/2017  1:14:14 PM,Accident - Minor,Report,"Daenzer, Matthew",205 NB
170000069091,9/26/2017  1:39:35 PM,Fraud,Ref oth Agncy,"Daenzer, Matthew",325 W McCarty Ln
170000069094,9/26/2017  2:01:12 PM,Information,Report,"Cope, John",105 Bintu Dr
170000069097,9/26/2017  2:19:55 PM,Investigation,Citation Issued,"Byer, Connor",Cotter Ave/Riverway Ave
170000069114,9/26/2017  3:51:04 PM,Fraud,Report,"Murphy, Logan",901 Hwy 80
