Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
170000068991,9/25/2017  10:46:59 PM,Viol City Ordinance,No Report,"Osborne, Joseph",300 S LBJ Dr
,,,,,
170000068992,9/25/2017  10:53:17 PM,Accident - Minor,Blue Form Issue,"Tureaud, Benjamin",108 N IH 35
,,,,,
170000068994,9/25/2017  11:03:30 PM,Disturbance - Phys/Fight,Arrest,"Tennant, Casey",1629 Post Rd
,,,,,
170000068995,9/25/2017  11:14:01 PM,Disturbance - Phys/Fight,No Report,"Tureaud, Benjamin",1625 Hunter Rd
,,,,,
170000069006,9/26/2017  12:54:19 AM,Assist EMS,No Report,"Tennant, Casey",138 N LBJ Dr
,,,,,
170000069011,9/26/2017  2:06:11 AM,Accident - Major/Injury,Arrest,"Tureaud, Benjamin",121 Craddock Ave
,,,,,
170000069013,9/26/2017  2:30:44 AM,Disturbance - Noise,Unfounded,"Tennant, Casey",315 Reynolds St
,,,,,
170000069015,9/26/2017  3:08:40 AM,Suspicious Circumstances,No Contact,"Tennant, Casey",1525 Aquarena Springs Dr
,,,,,
170000069017,9/26/2017  3:42:43 AM,Public Assist,No Report,"Tennant, Casey",2131 N IH 35
,,,,,
170000069018,9/26/2017  3:45:31 AM,Information,Cancelled,,210 SB
,,,,,
170000069020,9/26/2017  4:15:05 AM,Attempt to Locate,No Report,,205 SB
,,,,,
170000069026,9/26/2017  6:06:03 AM,Theft,Refer To COPR,"Arredondo, Danny",304 Bridlewood Dr
,,,,,
170000069027,9/26/2017  6:31:48 AM,Alarm - Robbery,False Alarm,"Wisener, Andrew",1204 Thorpe Ln
,,,,,
170000069029,9/26/2017  7:26:25 AM,Suspicious Circumstances,No Report,"Sparenberg, Andrew",501 Lockwood Dr
,,,,,
170000069030,9/26/2017  7:26:29 AM,Accident - Hit and Run,No Report,"Bradshaw, Ed",920 Hwy 80
,,,,,
170000069032,9/26/2017  7:37:36 AM,Burglary - Vehicle,Report,"Sparenberg, Andrew",801 River Rd
,,,,,
170000069033,9/26/2017  7:38:22 AM,Public Assist,No Report,"Harrison, Todd",111 Hill Dr
,,,,,
170000069036,9/26/2017  7:44:55 AM,Supplement,No Report,"Daenzer, Matthew",2300 S IH 35
,,,,,
170000069038,9/26/2017  7:49:25 AM,Alarm - Robbery,False Alarm,"Sembera, Jeremy",221 Wonder World Dr
,,,,,
