Incident_Nr,TimeReported,Activity,Disposition,Location
1.8E+11,10/24/18 12:16,Accident - Unknown,Blue Form Issue,Hwy 123/Broadway St
1.8E+11,10/24/18 14:55,Burglary - Vehicle,Refer To COPR,4015 S IH 35
1.8E+11,10/24/18 15:12,Credit/Debit Abuse,Report,1402 N IH 35
1.8E+11,10/24/18 15:51,Accident - Minor,Blue Form Issue,1901 N IH 35
1.8E+11,10/24/18 15:56,Accident - Minor,Blue Form Issue,N Comanche St/Sessom Dr
1.8E+11,10/24/18 16:19,Accident - Minor,Report,207 SB
1.8E+11,10/24/18 17:03,Accident - Major/Injury,Report,EXIT 201 NB
1.8E+11,10/24/18 17:19,Accident - Major/Injury,Report,1600blk Post Rd
1.8E+11,10/24/18 17:43,Accident - Unknown,Blue Form Issue,201 NB
1.8E+11,10/24/18 18:19,Accident - Hit and Run,Blue Form Issue,E Sessom Dr/Ed J L Green St
1.8E+11,10/24/18 18:50,Accident - Minor,Report,2401 S IH 35
1.8E+11,10/24/18 19:09,Accident - Minor,Blue Form Issue,110 Wonder World Dr
1.8E+11,10/24/18 19:14,Accident - Major/Injury,Report,107 E Hopkins St
1.8E+11,10/24/18 19:29,Forgery,Report,550 Barnes Dr
1.8E+11,10/24/18 19:43,Accident - Minor,Report,N Bishop St/W Hopkins St
1.8E+11,10/24/18 19:48,Attempt to Locate,Verbal Warning,Wonder World Dr/Corporate Dr
1.8E+11,10/24/18 20:34,Accident - Minor,Report,Hunter Rd/W McCarty Ln
1.8E+11,10/24/18 21:20,Burglary - Vehicle,Report,1721 S IH 35
1.8E+11,10/24/18 21:50,Burglary - Vehicle,Report,1502 S IH 35
1.8E+11,10/24/18 22:43,Mental Health Invest,Report,555 Cheatham St
1.8E+11,10/24/18 23:56,Disturbance - Noise,Verbal Warning,1701 Mill St
1.8E+11,10/25/18 1:41,Theft,Report,1180 Thorpe Ln
1.8E+11,10/25/18 2:21,Accident - Minor,Report,209 SB
1.8E+11,10/25/18 4:40,Vehicle Theft,Report,641 E Hopkins St
1.8E+11,10/25/18 4:44,Attempt to Locate,Ref oth Agncy,205 SB
1.8E+11,10/25/18 7:08,Disturbance - Verbal,Arrest,811 S Guadalupe St
1.8E+11,10/25/18 7:33,Accident - Hit and Run,Blue Form Issue,1642 Aquarena Springs Dr
1.8E+11,10/25/18 7:36,Accident - Major/Injury,Report,900blk Hwy 80
1.8E+11,10/25/18 7:52,Attempt to Locate,Ref oth Agncy,202 NB
1.8E+11,10/25/18 8:11,Mental Health Transport,Ref oth Agncy,1301 Wonder World Dr
1.8E+11,10/25/18 9:21,Disorderly Conduct,Multiple Arrest,205 S C M Allen Pkwy
1.8E+11,10/25/18 10:18,Suicidal Person,Report,1655 Mill St
1.8E+11,10/25/18 10:24,Burglary - Vehicle,Refer To COPR,106 N IH 35
1.8E+11,10/25/18 10:47,Animal Call,Ref oth Agncy,2915 Hwy 21
1.8E+11,10/25/18 12:13,Viol Education Code,Citation Issued,1301 Hwy 123
1.8E+11,10/25/18 12:37,Mental Health Invest,Report,1200 N Bishop St
1.8E+11,10/25/18 12:41,Runaway - Recover,Detention Juv,2913 Hunter Rd
1.8E+11,10/25/18 13:44,Fraud,Report,2300 S IH 35
1.8E+11,10/25/18 13:56,Sexual Assault,Report,2300 S IH 35
1.8E+11,10/25/18 14:10,Theft,Citation Issued,1015 Hwy 80
1.8E+11,10/25/18 14:59,Accident - Major/Injury,Report,204 NB
1.8E+11,10/25/18 15:23,Fraud,Report,2300 S IH 35
1.8E+11,10/25/18 15:57,Theft,Arrest,641 E Hopkins St
1.8E+11,10/25/18 16:01,Theft,Report,1023 Hwy 80
1.8E+11,10/25/18 17:58,Accident - Minor,Citation Issued,917 N IH 35
1.8E+11,10/25/18 18:32,Accident - Minor,Report,N Comanche St/W Hopkins St
1.8E+11,10/25/18 18:41,Suspicious Circumstances,Report,109 Smith Ln
1.8E+11,10/25/18 19:45,Trespassing/Unwanted,Warning,105 Bintu Dr
1.8E+11,10/25/18 19:54,Accident - Minor,Report,1525 Aquarena Springs Dr
1.8E+11,10/25/18 22:24,Disturbance - Noise,Verbal Warning,650 River Rd
1.8E+11,10/25/18 22:42,Disturbance - Noise,Verbal Warning,1101 E River Ridge Pkwy
1.8E+11,10/25/18 23:09,Disturbance - Noise,Verbal Warning,1410 N LBJ Dr
1.8E+11,10/25/18 23:34,Disturbance - Noise,Citation Issued,212 Ramsay St
1.8E+11,10/25/18 23:43,Accident - Minor,Blue Form Issue,331 W Hopkins St
1.8E+11,10/25/18 23:55,Disturbance - Noise,Verbal Warning,1850 Aquarena Springs Dr
1.8E+11,10/26/18 0:09,Disturbance - Noise,Verbal Warning,1250 Sadler Dr
1.8E+11,10/26/18 2:28,Assault - Aggravated,Report,116 W San Antonio St
1.8E+11,10/26/18 2:59,Disturbance - Verbal,Arrest,1015 Hwy 80
1.8E+11,10/26/18 6:25,Disturbance - Noise,Warning,912 Sagewood Trl
1.8E+11,10/26/18 8:07,Accident - Minor,Report,202 University Dr
1.8E+11,10/26/18 9:18,Assault,Report,518 Linda Dr.
1.8E+11,10/26/18 9:46,Viol City Ordinance,Citation Issued,Edward Gary St/E San Antonio St
1.8E+11,10/26/18 9:53,Mental Health Invest,Report,1301 Wonder World Dr
1.8E+11,10/26/18 10:08,Burglary - Vehicle,Report,2300 S IH 35
1.8E+11,10/26/18 10:20,Theft,Report,3939 S IH 35
1.8E+11,10/26/18 11:40,Disturbance - Verbal,Arrest,801 N IH 35
1.8E+11,10/26/18 12:42,Investigation,Citation Issued,600 Cape Rd
1.8E+11,10/26/18 13:37,Suicidal Person,Report,109 West Ave
